Num,Year,Month,Day,Mean Temp (C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Datetime
99,1980,6,8,11.3,0,0,0,0.594594595,1980/6/8
100,1980,6,9,14,4,0,4,0.594594595,1980/6/9
101,1980,6,10,14.8,0,0,0,0.594594595,1980/6/10
102,1980,6,11,14,0,0,0,0.594594595,1980/6/11
103,1980,6,12,12,2.6,0,2.6,0.594594595,1980/6/12
104,1980,6,13,11.5,0.8,0,0.8,0.594594595,1980/6/13
105,1980,6,14,12,10,0,10,0.594594595,1980/6/14
106,1980,6,15,16.5,0,0,0,0.594594595,1980/6/15
107,1980,6,16,15.5,0,0,0,0.594594595,1980/6/16
108,1980,6,17,13.8,0.6,0,0.6,0.594594595,1980/6/17
109,1980,6,18,13.3,0,0,0,0.594594595,1980/6/18
110,1980,6,19,14.3,0,0,0,0.594594595,1980/6/19
111,1980,6,20,15.8,0,0,0,0.594594595,1980/6/20
112,1980,6,21,17.3,0,0,0,0.594594595,1980/6/21
113,1980,6,22,12.3,0.2,0,0.2,0.594594595,1980/6/22
114,1980,6,23,13.3,0.2,0,0.2,0.594594595,1980/6/23
115,1980,6,24,14.3,0,0,0,0.594594595,1980/6/24
116,1980,6,25,9,0,0,0,0.594594595,1980/6/25
117,1980,6,26,9.3,0,0,0,0.594594595,1980/6/26
118,1980,6,27,10.5,0.4,0,0.4,0.594594595,1980/6/27
119,1980,6,28,13,0,0,0,0.594594595,1980/6/28
120,1980,6,29,11.5,2,0,2,0.594594595,1980/6/29
121,1980,6,30,11.3,0,0,0,0.594594595,1980/6/30
122,1980,7,1,13.3,0,0,0,0.175650558,1980/7/1
123,1980,7,2,14.3,0,0,0,0.175650558,1980/7/2
124,1980,7,3,16.3,0,0,0,0.175650558,1980/7/3
125,1980,7,4,15.3,0,0,0,0.175650558,1980/7/4
126,1980,7,5,14.5,0,0,0,0.175650558,1980/7/5
127,1980,7,6,14.8,0,0,0,0.175650558,1980/7/6
128,1980,7,7,13.8,0,0,0,0.175650558,1980/7/7
129,1980,7,8,16.3,0,0,0,0.175650558,1980/7/8
130,1980,7,9,18.3,1.6,0,1.6,0.175650558,1980/7/9
131,1980,7,10,12.5,6.4,0,6.4,0.175650558,1980/7/10
132,1980,7,11,13,0.6,0,0.6,0.175650558,1980/7/11
133,1980,7,12,14,0,0,0,0.175650558,1980/7/12
134,1980,7,13,12.5,3.8,0,3.8,0.175650558,1980/7/13
135,1980,7,14,12.8,0.2,0,0.2,0.175650558,1980/7/14
136,1980,7,15,14.5,1,0,1,0.175650558,1980/7/15
137,1980,7,16,16,0,0,0,0.175650558,1980/7/16
138,1980,7,17,13.8,0,0,0,0.175650558,1980/7/17
139,1980,7,18,14.3,6.6,0,6.6,0.175650558,1980/7/18
140,1980,7,19,14,0,0,0,0.175650558,1980/7/19
141,1980,7,20,14,0,0,0,0.175650558,1980/7/20
142,1980,7,21,17.5,0,0,0,0.175650558,1980/7/21
143,1980,7,22,19.5,0,0,0,0.175650558,1980/7/22
144,1980,7,23,21,0,0,0,0.175650558,1980/7/23
145,1980,7,24,19.8,0,0,0,0.175650558,1980/7/24
146,1980,7,25,18,0,0,0,0.175650558,1980/7/25
147,1980,7,26,17.3,0,0,0,0.175650558,1980/7/26
148,1980,7,27,17.5,0,0,0,0.175650558,1980/7/27
149,1980,7,28,18.3,0,0,0,0.175650558,1980/7/28
150,1980,7,29,18,0,0,0,0.175650558,1980/7/29
151,1980,7,30,14.8,0,0,0,0.175650558,1980/7/30
152,1980,7,31,14.8,0,0,0,0.175650558,1980/7/31
153,1980,8,1,19.5,2,0,2,0.016637478,1980/8/1
154,1980,8,2,14.5,6.8,0,6.8,0.016637478,1980/8/2
155,1980,8,3,13,0,0,0,0.016637478,1980/8/3
156,1980,8,4,10.5,0,0,0,0.016637478,1980/8/4
157,1980,8,5,12,2.4,0,2.4,0.016637478,1980/8/5
158,1980,8,6,11,0.2,0,0.2,0.016637478,1980/8/6
159,1980,8,7,13.3,0.2,0,0.2,0.016637478,1980/8/7
160,1980,8,8,13,15,0,15,0.016637478,1980/8/8
161,1980,8,9,14.8,2.6,0,2.6,0.016637478,1980/8/9
162,1980,8,10,13.8,0.6,0,0.6,0.016637478,1980/8/10
163,1980,8,11,14.5,5.6,0,5.6,0.016637478,1980/8/11
164,1980,8,12,12.3,1.8,0,1.8,0.016637478,1980/8/12
165,1980,8,13,14.8,0,0,0,0.016637478,1980/8/13
166,1980,8,14,14.8,0,0,0,0.016637478,1980/8/14
167,1980,8,15,14.3,0,0,0,0.016637478,1980/8/15
168,1980,8,16,14,0,0,0,0.016637478,1980/8/16
169,1980,8,17,13,4.6,0,4.6,0.016637478,1980/8/17
170,1980,8,18,9.8,2.2,0,2.2,0.016637478,1980/8/18
171,1980,8,19,13,0,0,0,0.016637478,1980/8/19
172,1980,8,20,10.5,4.4,0,4.4,0.016637478,1980/8/20
173,1980,8,21,12.3,2.6,0,2.6,0.016637478,1980/8/21
174,1980,8,22,12.3,0,0,0,0.016637478,1980/8/22
175,1980,8,23,14.3,0,0,0,0.016637478,1980/8/23
176,1980,8,24,14.8,0,0,0,0.016637478,1980/8/24
177,1980,8,25,11.3,0,0,0,0.016637478,1980/8/25
178,1980,8,26,10.8,0,0,0,0.016637478,1980/8/26
179,1980,8,27,10.3,1,0,1,0.016637478,1980/8/27
180,1980,8,28,10.5,2,0,2,0.016637478,1980/8/28
181,1980,8,29,8.8,0,0,0,0.016637478,1980/8/29
182,1980,8,30,8.3,0.2,0,0.2,0.016637478,1980/8/30
183,1980,8,31,8,2.4,0,2.4,0.016637478,1980/8/31
184,1980,9,1,6.5,5.2,0,5.2,0,1980/9/1
185,1980,9,2,10.8,3.6,0,3.6,0,1980/9/2
186,1980,9,3,9,0,0,0,0,1980/9/3
187,1980,9,4,13,0,0,0,0,1980/9/4
188,1980,9,5,14.8,0,0,0,0,1980/9/5
189,1980,9,6,13.8,0.6,0,0.6,0,1980/9/6
190,1980,9,7,13,0.8,0,0.8,0,1980/9/7
191,1980,9,8,13.3,0,0,0,0,1980/9/8
192,1980,9,9,10.8,0,0,0,0,1980/9/9
193,1980,9,10,11.8,0,0,0,0,1980/9/10
194,1980,9,11,14.5,6.2,0,6.2,0,1980/9/11
195,1980,9,12,12,6.2,0,6.2,0,1980/9/12
196,1980,9,13,8.8,1.4,0,1.4,0,1980/9/13
197,1980,9,14,13,8.2,0,8.2,0,1980/9/14
198,1980,9,15,7,0.2,0,0.2,0,1980/9/15
199,1980,9,16,6.5,0.2,0,0.2,0,1980/9/16
200,1980,9,17,13.3,0,0,0,0,1980/9/17
201,1980,9,18,10.8,0.4,0,0.4,0,1980/9/18
202,1980,9,19,8.8,9.6,0,9.6,0,1980/9/19
203,1980,9,20,8.8,0.4,0,0.4,0,1980/9/20
204,1980,9,21,6.3,0,0,0,0,1980/9/21
205,1980,9,22,4.8,0,0,0,0,1980/9/22
206,1980,9,23,9.5,0,0,0,0,1980/9/23
207,1980,9,24,5.5,0.4,0,0.4,0,1980/9/24
208,1980,9,25,6,0,0,0,0,1980/9/25
209,1980,9,26,8,0,0,0,0,1980/9/26
210,1980,9,27,9.8,0.4,0,0.4,0,1980/9/27
211,1980,9,28,9.5,0,0,0,0,1980/9/28
212,1980,9,29,15.5,16.8,0,16.8,0,1980/9/29
213,1980,9,30,11.5,0,0,0,0,1980/9/30
214,1980,10,1,11.7,0,0,0,0,1980/10/1
215,1980,10,2,9.6,0,0,0,0,1980/10/2
216,1980,10,3,9.9,0,0,0,0,1980/10/3
217,1980,10,4,9.8,0,0,0,0,1980/10/4
218,1980,10,5,9.9,0,0,0,0,1980/10/5
219,1980,10,6,9.9,0,0,0,0,1980/10/6
220,1980,10,7,12.7,0,0,0,0,1980/10/7
221,1980,10,8,11.4,0,0,0,0,1980/10/8
222,1980,10,9,10.9,0,0,0,0,1980/10/9
223,1980,10,10,10.9,0,0,0,0,1980/10/10
224,1980,10,11,10.5,0,0,0,0,1980/10/11
225,1980,10,12,10.6,0,0,0,0,1980/10/12
226,1980,10,13,8.3,0.6,0,0.6,0,1980/10/13
227,1980,10,14,10.1,19.4,0,19.4,0,1980/10/14
228,1980,10,15,10.4,9.9,0,9.9,0,1980/10/15
229,1980,10,16,10.6,0,0,0,0,1980/10/16
230,1980,10,17,4.5,0,0,0,0,1980/10/17
231,1980,10,18,0.5,0,0,0,0,1980/10/18
232,1980,10,19,4.1,0,0,0,0,1980/10/19
233,1980,10,20,6.1,0,0,0,0,1980/10/20
234,1980,10,21,11.4,2.9,0,2.9,0,1980/10/21
235,1980,10,22,5.9,0,0,0,0,1980/10/22
236,1980,10,23,8.6,0,0,0,0,1980/10/23
237,1980,10,24,7.5,0,0,0,0,1980/10/24
238,1980,10,25,4.8,1.5,0,1.5,0,1980/10/25
239,1980,10,26,3.5,2.8,5,6,0,1980/10/26
240,1980,10,27,-1.8,0,0,0,0,1980/10/27
241,1980,10,28,-3.9,0,0,0,0,1980/10/28
242,1980,10,29,-2.6,0,0,0,0,1980/10/29
243,1980,10,30,3.1,0,0,0,0,1980/10/30
244,1980,10,31,7.8,0,0,0,0,1980/10/31
245,1980,11,1,8.3,4.2,0,4.2,0.064137308,1980/11/1
246,1980,11,2,7,0.6,0,0.6,0.064137308,1980/11/2
247,1980,11,3,3,0,0,0,0.064137308,1980/11/3
248,1980,11,4,10,0,0,0,0.064137308,1980/11/4
249,1980,11,5,10,1.2,0,1.2,0.064137308,1980/11/5
250,1980,11,6,7.8,6,0,6,0.064137308,1980/11/6
251,1980,11,7,5.5,9.6,0,9.6,0.064137308,1980/11/7
252,1980,11,8,5.3,3.2,0,3.2,0.064137308,1980/11/8
253,1980,11,9,2.3,0,6,6,0.064137308,1980/11/9
254,1980,11,10,0.8,0,0,0,0.064137308,1980/11/10
255,1980,11,11,-2,0,0,0,0.064137308,1980/11/11
256,1980,11,12,-5.5,0,0,0,0.064137308,1980/11/12
257,1980,11,13,-7.3,0,0,0,0.064137308,1980/11/13
258,1980,11,14,-6,0,0,0,0.064137308,1980/11/14
259,1980,11,15,-5,0,0,0,0.064137308,1980/11/15
260,1980,11,16,-7.8,0,0,0,0.064137308,1980/11/16
261,1980,11,17,-2,0,2.6,2.6,0.064137308,1980/11/17
262,1980,11,18,1.5,2.6,0,2.6,0.064137308,1980/11/18
263,1980,11,19,1.8,0.4,0.4,0.8,0.064137308,1980/11/19
264,1980,11,20,-2,2.8,0,2.8,0.064137308,1980/11/20
265,1980,11,21,2,12.4,8.8,21.2,0.064137308,1980/11/21
266,1980,11,22,-4.8,0,0,0,0.064137308,1980/11/22
267,1980,11,23,-10,0,0,0,0.064137308,1980/11/23
268,1980,11,24,-8.3,0,1,1,0.064137308,1980/11/24
269,1980,11,25,-5.8,0,0.4,0.4,0.064137308,1980/11/25
270,1980,11,26,-5.8,0,0,0,0.064137308,1980/11/26
271,1980,11,27,-2,8.8,0,8.8,0.064137308,1980/11/27
272,1980,11,28,0.8,0,7,7,0.064137308,1980/11/28
273,1980,11,29,-1.5,0,15.8,15.8,0.064137308,1980/11/29
274,1980,11,30,-9.5,0,3,3,0,1980/11/30
275,1980,12,1,-17,0,7,7,0,1980/12/1
276,1980,12,2,-18.8,0,14,14,0,1980/12/2
277,1980,12,3,-18,0,65,65,0,1980/12/3
278,1980,12,4,-19.8,0,20,20,0,1980/12/4
279,1980,12,5,-19.8,0,12,12,0,1980/12/5
280,1980,12,6,-22.8,0,0,0,0,1980/12/6
281,1980,12,7,-26.3,0,0.2,0.2,0,1980/12/7
282,1980,12,8,-16.5,0,2.2,2.2,0,1980/12/8
283,1980,12,9,-9.5,0,2.4,2.4,0,1980/12/9
284,1980,12,10,0.3,0,0.6,0.6,0,1980/12/10
285,1980,12,11,3.8,0,0,0,0,1980/12/11
286,1980,12,12,0.8,0,0,0,0,1980/12/12
287,1980,12,13,-4.3,0,0,0,0,1980/12/13
288,1980,12,14,1.5,0.4,0,0.4,0,1980/12/14
289,1980,12,15,6,0,0,0,0,1980/12/15
290,1980,12,16,8.8,0,0,0,0,1980/12/16
291,1980,12,17,0.8,0,0,0,0,1980/12/17
292,1980,12,18,-13,0,0,0,0,1980/12/18
293,1980,12,19,-14.3,0,3.4,3.4,0,1980/12/19
294,1980,12,20,-12,0,1.4,1.4,0,1980/12/20
295,1980,12,21,-9.3,0,8,8,0,1980/12/21
296,1980,12,22,-4.8,0,3.4,3.4,0,1980/12/22
297,1980,12,23,-14.8,0,18,18,0,1980/12/23
298,1980,12,24,-7.3,0,5,5,0,1980/12/24
299,1980,12,25,-2.5,8,0,8,0,1980/12/25
300,1980,12,26,4.8,27.8,0,27.8,4,1980/12/26
301,1980,12,27,5.5,11.4,0,11.4,4,1980/12/27
302,1980,12,28,4.8,0,0,0,4,1980/12/28
303,1980,12,29,3.3,2.2,0,2.2,0,1980/12/29
304,1980,12,30,3,0,0,0,0,1980/12/30
305,1980,12,31,1,0,0,0,0,1980/12/31
306,1981,1,1,-4.3,0,0,0,0,1981/1/1
307,1981,1,2,-7.3,0,0,0,0,1981/1/2
308,1981,1,3,-8.8,0,0,0,0,1981/1/3
309,1981,1,4,-7.3,0,0,0,0,1981/1/4
310,1981,1,5,-4.8,0,0,0,0,1981/1/5
311,1981,1,6,-1.8,0,0,0,0,1981/1/6
312,1981,1,7,-3.3,0,0,0,0,1981/1/7
313,1981,1,8,-2,0,0.2,0.2,0,1981/1/8
314,1981,1,9,-0.5,0,0,0,6,1981/1/9
315,1981,1,10,-4,0,0,0,1,1981/1/10
316,1981,1,11,-7.8,0,0,0,0,1981/1/11
317,1981,1,12,-8,0,0,0,0,1981/1/12
318,1981,1,13,-6.3,0,0,0,0,1981/1/13
319,1981,1,14,-8,0,0,0,0,1981/1/14
320,1981,1,15,-7,0,0,0,0,1981/1/15
321,1981,1,16,-8.5,0,0,0,0,1981/1/16
322,1981,1,17,-13,0,0,0,1,1981/1/17
323,1981,1,18,-4.3,0,0,0,0,1981/1/18
324,1981,1,19,-0.3,0,0,0,0,1981/1/19
325,1981,1,20,-1.5,0,0,0,0,1981/1/20
326,1981,1,21,-4.5,0,0,0,9,1981/1/21
327,1981,1,22,0.5,0,0,0,9,1981/1/22
328,1981,1,23,2.3,2,1,3,9,1981/1/23
329,1981,1,24,0.8,0,20.6,20.6,9,1981/1/24
330,1981,1,25,-1.5,0,12.2,12.2,9,1981/1/25
331,1981,1,26,-5.8,0,0.4,0.4,9,1981/1/26
332,1981,1,27,-4,0,0,0,3,1981/1/27
333,1981,1,28,-3.8,0,0.4,0.4,10,1981/1/28
334,1981,1,29,-3.3,0,0,0,24,1981/1/29
335,1981,1,30,-3.5,0,0.2,0.2,27,1981/1/30
336,1981,1,31,-3.8,0,0,0,34,1981/1/31
337,1981,2,1,-3.3,0,0,0,48,1981/2/1
338,1981,2,2,-4,0,0,0,113,1981/2/2
339,1981,2,3,-5.5,0,0,0,133,1981/2/3
340,1981,2,4,-8.5,0,0,0,125,1981/2/4
341,1981,2,5,-12,0,0,0,120,1981/2/5
342,1981,2,6,-7.8,0,2.2,2.2,115,1981/2/6
343,1981,2,7,-8,0,4.2,4.2,110,1981/2/7
344,1981,2,8,-7.8,0,3.2,3.2,100,1981/2/8
345,1981,2,9,-18.5,0,0.2,0.2,60,1981/2/9
346,1981,2,10,-23.3,0,0,0,35,1981/2/10
347,1981,2,11,-12.5,0,0,0,28,1981/2/11
348,1981,2,12,-7,0,0,0,23,1981/2/12
349,1981,2,13,1.8,2.2,0,2.2,18,1981/2/13
350,1981,2,14,4,6.2,0,6.2,12,1981/2/14
351,1981,2,15,2,6.6,0.8,7.4,10,1981/2/15
352,1981,2,16,3.5,9.4,0.4,9.8,9,1981/2/16
353,1981,2,17,3.8,1.8,1,2.8,9,1981/2/17
354,1981,2,18,3.5,0,1.8,1.8,12,1981/2/18
355,1981,2,19,2.5,13.1,3,16.1,13,1981/2/19
356,1981,2,20,2,0,0,0,24,1981/2/20
357,1981,2,21,2.5,0,0,0,27,1981/2/21
358,1981,2,22,4.5,0,0,0,35,1981/2/22
359,1981,2,23,3.3,0,0,0,30,1981/2/23
360,1981,2,24,-0.8,0,2.2,2.2,20,1981/2/24
361,1981,2,25,-0.5,0,0.6,0.6,8,1981/2/25
362,1981,2,26,-2.5,0,0,0,0,1981/2/26
363,1981,2,27,-2.5,0,0,0,0,1981/2/27
364,1981,2,28,-1.5,0,0,0,0,1981/2/28
365,1981,3,1,-2,0,0,0,0,1981/3/1
366,1981,3,2,-1.5,0,0,0,0,1981/3/2
367,1981,3,3,-1.3,0,0,0,0,1981/3/3
368,1981,3,4,3.5,1,0,1,0,1981/3/4
369,1981,3,5,1.8,0,0,0,0,1981/3/5
370,1981,3,6,-0.8,0,0,0,0,1981/3/6
371,1981,3,7,-1.3,0,0,0,0,1981/3/7
372,1981,3,8,1,0,0,0,0,1981/3/8
373,1981,3,9,0.8,0,0,0,0,1981/3/9
374,1981,3,10,1.5,0,0,0,0,1981/3/10
375,1981,3,11,3.8,0,0,0,0,1981/3/11
376,1981,3,12,2.8,0,0,0,0,1981/3/12
377,1981,3,13,3.8,0,0,0,0,1981/3/13
378,1981,3,14,3.3,0,0,0,0,1981/3/14
379,1981,3,15,5.3,0,0,0,0,1981/3/15
380,1981,3,16,3.3,4.2,2,6.2,0,1981/3/16
381,1981,3,17,2,0,0.6,0.6,0,1981/3/17
382,1981,3,18,0.5,0,0,0,0,1981/3/18
383,1981,3,19,-1,0,0,0,0,1981/3/19
384,1981,3,20,-4.3,0,0,0,0,1981/3/20
385,1981,3,21,-2.3,0,0,0,0,1981/3/21
386,1981,3,22,2.5,0,0,0,0,1981/3/22
387,1981,3,23,3,0,0,0,0,1981/3/23
388,1981,3,24,3.5,0,0,0,0,1981/3/24
389,1981,3,25,2.8,4.4,0,4.4,1,1981/3/25
390,1981,3,26,3.5,0,0,0,15,1981/3/26
391,1981,3,27,3.8,0,0,0,26,1981/3/27
392,1981,3,28,3.3,0,0,0,22,1981/3/28
393,1981,3,29,6.3,0,1,1,18,1981/3/29
394,1981,3,30,5.3,0,0,0,16,1981/3/30
395,1981,3,31,4.3,3.4,0.4,3.8,14,1981/3/31
396,1981,4,1,3,0,0,0,12,1981/4/1
397,1981,4,2,1.5,0,0,0,10,1981/4/2
398,1981,4,3,2,0,0,0,10,1981/4/3
399,1981,4,4,0.5,0,0,0,10,1981/4/4
400,1981,4,5,1.5,4,1.8,5.8,10,1981/4/5
401,1981,4,6,1.5,0,0,0,10,1981/4/6
402,1981,4,7,-0.5,0,0.2,0.2,11,1981/4/7
403,1981,4,8,0,0,11,11,13,1981/4/8
404,1981,4,9,0.3,0,2,2,15,1981/4/9
405,1981,4,10,0.5,0,0,0,15,1981/4/10
406,1981,4,11,-0.3,0,5.4,5.4,15,1981/4/11
407,1981,4,12,-0.3,0,7.2,7.2,14,1981/4/12
408,1981,4,13,0,0,0,0,13,1981/4/13
409,1981,4,14,2.5,0,0,0,8,1981/4/14
410,1981,4,15,6.8,0,0,0,2,1981/4/15
411,1981,4,16,8.5,0,0,0,0,1981/4/16
412,1981,4,17,5.5,0,0,0,0,1981/4/17
413,1981,4,18,6.3,0,0,0,0,1981/4/18
414,1981,4,19,8,0,0,0,0,1981/4/19
415,1981,4,20,8.8,4.2,0,4.2,2,1981/4/20
416,1981,4,21,7.3,0,0,0,0,1981/4/21
417,1981,4,22,8,0,0,0,0,1981/4/22
418,1981,4,23,13.5,2.6,0,2.6,0,1981/4/23
419,1981,4,24,7.5,3.2,0,3.2,0,1981/4/24
420,1981,4,25,6.3,0,0,0,2,1981/4/25
421,1981,4,26,5,0,0,0,0,1981/4/26
422,1981,4,27,5.3,3.6,0,3.6,0,1981/4/27
423,1981,4,28,7,2.6,0,2.6,0,1981/4/28
424,1981,4,29,10.5,0,0,0,0,1981/4/29
425,1981,4,30,11.8,0,0,0,0,1981/4/30
426,1981,5,1,11.5,0,0,0,0,1981/5/1
427,1981,5,2,6.5,0.4,0,0.4,0,1981/5/2
428,1981,5,3,3.8,0,0,0,0,1981/5/3
429,1981,5,4,4.3,7.2,26.8,34,0,1981/5/4
430,1981,5,5,4.5,3,1.4,4.4,0,1981/5/5
431,1981,5,6,4,0,0,0,0,1981/5/6
432,1981,5,7,3.3,10.2,4,14.2,0,1981/5/7
433,1981,5,8,5.8,2.2,0,2.2,0,1981/5/8
434,1981,5,9,8,0,0,0,0,1981/5/9
435,1981,5,10,6,1.4,0,1.4,0,1981/5/10
436,1981,5,11,7,0,0,0,0,1981/5/11
437,1981,5,12,5.8,0,0,0,0,1981/5/12
438,1981,5,13,7.8,0,0,0,0,1981/5/13
439,1981,5,14,9.5,1.8,0,1.8,0,1981/5/14
440,1981,5,15,4.8,22,0,22,0,1981/5/15
441,1981,5,16,5.5,0,0,0,1,1981/5/16
442,1981,5,17,8.5,0,0,0,0,1981/5/17
443,1981,5,18,11.8,0,0,0,0,1981/5/18
444,1981,5,19,14.3,0,0,0,0,1981/5/19
445,1981,5,20,11.3,1.8,0,1.8,0,1981/5/20
